codigo_mesorregiao;mesorregiao;tipo_atividade;nro_produtores_und_cafe_graos;qtd_produzida_ton_cafe_graos;qtd_vendida_ton_cafe_graos;valor_produzido_curr_x_1000_cafe_graos;valor_vendido_currX1000_cafe_graos
1702;Oriental do Tocantins (TO);Produção de lavouras permanentes;0;0;0;0;0
1702;Oriental do Tocantins (TO);Produção florestal - florestas plantadas;0;0;0;0;0
1702;Oriental do Tocantins (TO);Produção florestal - florestas nativas;0;0;0;0;0
2101;Norte Maranhense (MA);Produção de lavouras temporárias;0;0;0;0;0
2101;Norte Maranhense (MA);Produção de lavouras permanentes;0;0;0;0;0
2101;Norte Maranhense (MA);Produção florestal - florestas plantadas;0;0;0;0;0
2101;Norte Maranhense (MA);Produção florestal - florestas nativas;0;0;0;0;0
2102;Oeste Maranhense (MA);Produção de lavouras temporárias;0;0;0;0;0
2102;Oeste Maranhense (MA);Produção de lavouras permanentes;0;0;0;0;0
2102;Oeste Maranhense (MA);Produção florestal - florestas plantadas;0;0;0;0;0
2102;Oeste Maranhense (MA);Produção florestal - florestas nativas;0;0;0;0;0
2103;Centro Maranhense (MA);Produção de lavouras temporárias;0;0;0;0;0
2103;Centro Maranhense (MA);Produção de lavouras permanentes;0;0;0;0;0
2103;Centro Maranhense (MA);Produção florestal - florestas plantadas;0;0;0;0;0
2103;Centro Maranhense (MA);Produção florestal - florestas nativas;0;0;0;0;0
2104;Leste Maranhense (MA);Produção de lavouras temporárias;0;0;0;0;0
2104;Leste Maranhense (MA);Produção de lavouras permanentes;0;0;0;0;0
2104;Leste Maranhense (MA);Produção florestal - florestas plantadas;0;0;0;0;0
2104;Leste Maranhense (MA);Produção florestal - florestas nativas;0;0;0;0;0
2105;Sul Maranhense (MA);Produção de lavouras temporárias;0;0;0;0;0
2105;Sul Maranhense (MA);Produção de lavouras permanentes;0;0;0;0;0
2105;Sul Maranhense (MA);Produção florestal - florestas plantadas;0;0;0;0;0
2105;Sul Maranhense (MA);Produção florestal - florestas nativas;0;0;0;0;0
2201;Norte Piauiense (PI);Produção de lavouras temporárias;0;0;0;0;0
2201;Norte Piauiense (PI);Produção de lavouras permanentes;0;0;0;0;0
2201;Norte Piauiense (PI);Produção florestal - florestas plantadas;0;0;0;0;0
2201;Norte Piauiense (PI);Produção florestal - florestas nativas;0;0;0;0;0
2202;Centro-Norte Piauiense (PI);Produção de lavouras temporárias;0;0;0;0;0
2202;Centro-Norte Piauiense (PI);Produção de lavouras permanentes;0;0;0;0;0
