"codigo_mesorregiao","mesorregiao","tipo_atividade","nro_produtores_und_cafe_graos","qtd_produzida_ton_cafe_graos","qtd_vendida_ton_cafe_graos","valor_produzido_curr_x_1000_cafe_graos","valor_vendido_currX1000_cafe_graos","produtor_cafe","quartil_producao","classificacao_produtores_tercis"
3108,"Vale do Rio Doce (MG)","Produção de lavouras temporárias",86,2.21,0,24.51,0,"Região Produtora","Q1","Número Maior de Produtores"
3108,"Vale do Rio Doce (MG)","Produção de lavouras permanentes",18,55.99,55.3,780.97,773.95,"Região Produtora","Q2","Número Maior de Produtores"
3108,"Vale do Rio Doce (MG)","Produção florestal - florestas plantadas",3,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
3108,"Vale do Rio Doce (MG)","Produção florestal - florestas nativas",11,0,0,0,0,"Região Produtora","Q1","Número Maior de Produtores"
3109,"Oeste de Minas (MG)","Produção de lavouras permanentes",3,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
3109,"Oeste de Minas (MG)","Produção florestal - florestas plantadas",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
3110,"Sul/Sudoeste de Minas (MG)","Produção de lavouras temporárias",5,0,0,0,0,"Região Produtora","Q1","Número Maior de Produtores"
3110,"Sul/Sudoeste de Minas (MG)","Produção de lavouras permanentes",41,93.8,64,901.3,712.45,"Região Produtora","Q2","Número Maior de Produtores"
3110,"Sul/Sudoeste de Minas (MG)","Produção florestal - florestas plantadas",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
3111,"Campo das Vertentes (MG)","Produção de lavouras permanentes",2,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
3112,"Zona da Mata (MG)","Produção de lavouras temporárias",3,1.38,1.2,17.79,16.8,"Região Produtora","Q1","Número Menor de Produtores"
3112,"Zona da Mata (MG)","Produção de lavouras permanentes",19,60.07,55.52,719.87,679.81,"Região Produtora","Q2","Número Maior de Produtores"
3201,"Noroeste Espírito-santense (ES)","Produção de lavouras temporárias",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
3201,"Noroeste Espírito-santense (ES)","Produção de lavouras permanentes",26,479.91,359.07,2899.19,2151.37,"Região Produtora","Q2","Número Maior de Produtores"
3202,"Litoral Norte Espírito-santense (ES)","Produção de lavouras permanentes",9,0,0,0,0,"Região Produtora","Q1","Número Maior de Produtores"
3203,"Central Espírito-santense (ES)","Produção de lavouras temporárias",3,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
3203,"Central Espírito-santense (ES)","Produção de lavouras permanentes",39,29.96,24.16,204.07,178.93,"Região Produtora","Q2","Número Maior de Produtores"
3203,"Central Espírito-santense (ES)","Produção florestal - florestas plantadas",2,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
3204,"Sul Espírito-santense (ES)","Produção de lavouras temporárias",63,2.4,0,15.11,0,"Região Produtora","Q1","Número Maior de Produtores"
3204,"Sul Espírito-santense (ES)","Produção de lavouras permanentes",111,709,672.94,4037.62,3804.68,"Região Produtora","Q2","Número Maior de Produtores"
3302,"Norte Fluminense (RJ)","Produção de lavouras temporárias",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
3303,"Centro Fluminense (RJ)","Produção de lavouras permanentes",2,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
3502,"Ribeirão Preto (SP)","Produção de lavouras temporárias",3,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
3502,"Ribeirão Preto (SP)","Produção de lavouras permanentes",15,1724.63,842.65,12613.27,6622.07,"Região Produtora","Q2","Número Maior de Produtores"
3504,"Bauru (SP)","Produção de lavouras temporárias",2,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
3504,"Bauru (SP)","Produção de lavouras permanentes",12,339.24,199.48,2390.43,1436.35,"Região Produtora","Q2","Número Maior de Produtores"
3505,"Araraquara (SP)","Produção de lavouras permanentes",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
3506,"Piracicaba (SP)","Produção de lavouras permanentes",3,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
3507,"Campinas (SP)","Produção de lavouras temporárias",2,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
3507,"Campinas (SP)","Produção de lavouras permanentes",22,741.95,612.34,6673.55,5644.8,"Região Produtora","Q2","Número Maior de Produtores"
3508,"Presidente Prudente (SP)","Produção de lavouras temporárias",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
3508,"Presidente Prudente (SP)","Produção de lavouras permanentes",13,270.64,157.62,2013.3,996.59,"Região Produtora","Q2","Número Maior de Produtores"
3509,"Marília (SP)","Produção de lavouras permanentes",7,165.54,104.46,1254.66,816.66,"Região Produtora","Q2","Número Maior de Produtores"
3510,"Assis (SP)","Produção de lavouras permanentes",11,704.16,686.76,3501.22,3382.66,"Região Produtora","Q2","Número Maior de Produtores"
3511,"Itapetininga (SP)","Produção de lavouras permanentes",2,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
3512,"Macro Metropolitana Paulista (SP)","Produção de lavouras permanentes",4,4.21,3.25,39.14,32.72,"Região Produtora","Q2","Número Menor de Produtores"
3513,"Vale do Paraíba Paulista (SP)","Produção de lavouras permanentes",2,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
3514,"Litoral Sul Paulista (SP)","Produção de lavouras permanentes",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
4101,"Noroeste Paranaense (PR)","Produção de lavouras permanentes",3,12.26,12.2,102.22,101.5,"Região Produtora","Q2","Número Menor de Produtores"
